code_name,BLEU_score
Suggestion_1_1.py,0.783131599
Suggestion_1_10.py,0.09861192
Suggestion_1_2.py,1
Suggestion_1_3.py,0.619405976
Suggestion_1_4.py,0.477496125
Suggestion_1_5.py,0.222390266
Suggestion_1_6.py,0.634889762
Suggestion_1_7.py,0.000114567
Suggestion_1_8.py,0.245037798
Suggestion_1_9.py,0.001980877
Suggestion_2_1.py,0.753375924
Suggestion_2_2.py,0.795492657
Suggestion_2_3.py,0.500940145
Suggestion_2_4.py,0.494157495
Suggestion_2_5.py,0.487454343
Suggestion_2_6.py,0.494157865
Suggestion_3_1.py,0.753375924
Suggestion_3_2.py,0.494157495
Suggestion_3_3.py,0.489943198
Suggestion_3_4.py,0.795492657
Suggestion_3_5.py,0.487454343
Suggestion_4_1.py,0
Suggestion_4_2.py,0
Suggestion_4_3.py,0
Suggestion_4_4.py,0
Suggestion_4_5.py,0
Suggestion_5_1.py,4.80E-232
Suggestion_5_2.py,0
Suggestion_5_3.py,0
Suggestion_5_4.py,0
Suggestion_6_1.py,0.743227995
Suggestion_6_2.py,0.753375924
Suggestion_6_3.py,0.796758292
Suggestion_6_4.py,0.494157495
Suggestion_6_5.py,0.500940145
